id,description,descriptionRaw,currencyCode,amount,amountInAccountCurrency,date,category,categoryId,balance,accountId,providerCode,status,paymentData,type,creditCardMetadata,acquirerData,merchant,createdAt,updatedAt
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 9/10,Mercadolivre*Mercadol 9/10,BRL,49.4,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 9, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 5/6,Mercadolivre*Mercadol 5/6,BRL,32.3,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 6, 'installmentNumber': 5, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 4/6,Mercadolivre*Mercadol 4/6,BRL,32.3,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 6, 'installmentNumber': 4, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 6/6,Mercadolivre*Mercadol 6/6,BRL,32.3,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 6, 'installmentNumber': 6, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Pagamento recebido,Pagamento recebido,BRL,-788.9,,2023-05-30T03:00:00.000Z,Entrepreneurial activities,01030000,,00000000-0000-0000-0000-000000000000,,POSTED,,CREDIT,{'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'},,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Amazon Marketplace 2/10,Amazon Marketplace 2/10,BRL,62.1,,2023-05-29T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 2, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 2/10,Mercadolivre*Mercadol 2/10,BRL,49.4,,2023-05-29T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 2, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 3/6,Mercadolivre*Mercadol 3/6,BRL,32.3,,2023-05-29T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 6, 'installmentNumber': 3, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Amazon Marketplace 1/10,Amazon Marketplace 1/10,BRL,62.14,,2023-05-26T17:16:58.001Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 1, 'payeeMCC': 0, 'billId': '7ed42e91-3b1d-4be3-8da0-584dce022753'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Microsoft*Microsoft,Microsoft*Microsoft,BRL,45.0,,2023-05-24T01:22:23.001Z,Digital services,09000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': '7ed42e91-3b1d-4be3-8da0-584dce022753'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Digital Services', 'businessName': 'MICROSOFT DO BRASIL IMPORTACAO E COMERCIO DE SOFTWARE E VIDEO GAMES LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Santa Maria Transp,Santa Maria Transp,BRL,77.2,,2023-05-21T15:33:46.001Z,Transfers,05000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': '7ed42e91-3b1d-4be3-8da0-584dce022753'}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
